[2022-09-06 14:39:23:1237][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2022-09-06 14:39:23:1237][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2022-09-06 14:39:23:1237][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2022-09-06 14:39:23:1288][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-09-06 14:39:23:1288][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 880 ms
[2022-09-06 14:39:24:1383][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2022-09-06 14:39:24:1571][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2022-09-06 14:39:24:1600][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2022-09-06 14:39:24:1628][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
[2022-09-06 14:39:24:1733][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2022-09-06 14:39:24:1799][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[2022-09-06 14:39:24:2108][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2022-09-06 14:39:24:2113][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2022-09-06 14:39:25:2474][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2022-09-06 14:39:25:2709][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2022-09-06 14:39:25:2719][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2022-09-06 14:39:25:2849][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 2.753 seconds (JVM running for 3.126)
[2022-09-06 14:39:26:3741][http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-09-06 14:39:26:3741][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2022-09-06 14:39:26:3742][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
[2022-09-06 14:39:41:18634][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2022-09-06 14:39:41:18636][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2022-09-06 14:39:41:18640][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2022-09-06 14:39:43:382][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 18.0.2.1 on DESKTOP-R7ANO7G with PID 14556 (D:\zerobase_project\weather_diary\weather_diary_skeleton\out\production\classes started by lee in D:\zerobase_project\weather_diary\weather_diary_skeleton)
[2022-09-06 14:39:43:386][main] INFO  zerobase.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2022-09-06 14:39:44:877][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2022-09-06 14:39:44:905][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 3 JPA repository interfaces.
[2022-09-06 14:39:44:1237][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2022-09-06 14:39:44:1243][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2022-09-06 14:39:44:1244][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2022-09-06 14:39:44:1244][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2022-09-06 14:39:44:1294][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-09-06 14:39:44:1294][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 876 ms
[2022-09-06 14:39:44:1382][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2022-09-06 14:39:45:1557][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2022-09-06 14:39:45:1585][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2022-09-06 14:39:45:1614][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
[2022-09-06 14:39:45:1714][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2022-09-06 14:39:45:1781][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[2022-09-06 14:39:45:2100][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2022-09-06 14:39:45:2105][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2022-09-06 14:39:45:2447][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2022-09-06 14:39:46:2671][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2022-09-06 14:39:46:2682][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2022-09-06 14:39:46:2810][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 2.711 seconds (JVM running for 3.055)
[2022-09-06 14:39:46:2821][http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
